Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Tags,lang,target,target_tag,rater
Personality types revisited-a literature-informed and data-driven approach to an integration of prototypical and dimensional constructs of personality description,"Kerber, A.; Roth, M.; Herzberg, P. Y.","A new algorithmic approach to personality prototyping based on Big Five traits was applied to a large representative and longitudinal German dataset (N = 22,820) including behavior, personality and health correlates. We applied three different clustering techniques, latent profile analysis, the k-means method and spectral clustering algorithms. The resulting cluster centers, i.e. the personality prototypes, were evaluated using a large number of internal and external validity criteria including health, locus of control, self-esteem, impulsivity, risk-taking and wellbeing. The best-fitting prototypical personality profiles were labeled according to their Euclidean distances to averaged personality type profiles identified in a review of previous studies on personality types. This procedure yielded a five-cluster solution: resilient, overcontroller, undercontroller, reserved and vulnerable-resilient. Reliability and construct validity could be confirmed. We discuss wether personality types could comprise a bridge between personality and clinical psychology as well as between developmental psychology and resilience research.",2021,2021/01/07,PLOS ONE,16,1,e0244849,33411758.0,10.1371/journal.pone.0244849,,#14,Kerber 2021,,en,1.0,PRO,LS
Oxytocin differentially modulates eye gaze to naturalistic social signals of happiness and anger,"Domes, G.; Steiner, A.; Porges, S. W.; Heinrichs, M.","A number of previous studies has shown that oxytocin (OT) promotes facial emotion recognition and enhances eye gaze to facial stimuli in humans. Other studies report valence-specific effects of OT, supporting the proposed prosocial role of OT in social interactions. In the present study, we tested the hypothesis whether OT might selectively enhance eye gaze to positive, approach-related, but not to negative, threat-related social cues. In a placebo-controlled, double-blind, between-subject design, we assessed the effects of intranasal OT administration (24 IU) in 62 healthy male volunteers on eye gaze toward the eyes of neutral, positive (happy) and negative (angry) facial expressions compared with placebo. In order to capture the dynamics of facial expressions, we used video sequences showing neutral faces gradually displaying a specific emotion. In line with previous studies, OT increased eye gaze toward neutral facial expressions. Moreover, under OT treatment, eye gaze remained increased when the face showed a happy facial expression, but in contrast decreased when the face displayed an angry expression. These results support the notion that OT differentially modulates visual attention toward social signals of positive approach and threat and thereby contributes to the modulation of non-verbal interpersonal communication.",2013,Jul,Psychoneuroendocrinology,38,7,1198-202,23117026.0,10.1016/j.psyneuen.2012.10.002,,#15,Domes 2013,,en,1.0,PRO,LS
Predicting intelligence from brain gray matter volume,"Hilger, K.; Winter, N. R.; Leenings, R.; Sassenhagen, J.; Hahn, T.; Basten, U.; Fiebach, C. J.","A positive association between brain size and intelligence is firmly established, but whether region-specific anatomical differences contribute to general intelligence remains an open question. Results from voxel-based morphometry (VBM) - one of the most widely used morphometric methods - have remained inconclusive so far. Here, we applied cross-validated machine learning-based predictive modeling to test whether out-of-sample prediction of individual intelligence scores is possible on the basis of voxel-wise gray matter volume. Features were derived from structural magnetic resonance imaging data (N = 308) using (a) a purely data-driven method (principal component analysis) and (b) a domain knowledge-based approach (atlas parcellation). When using relative gray matter (corrected for total brain size), only the atlas-based approach provided significant prediction, while absolute gray matter (uncorrected) allowed for above-chance prediction with both approaches. Importantly, in all significant predictions, the absolute error was relatively high, i.e., greater than ten IQ points, and in the atlas-based models, the predicted IQ scores varied closely around the sample mean. This renders the practical value even of statistically significant prediction results questionable. Analyses based on the gray matter of functional brain networks yielded significant predictions for the fronto-parietal network and the cerebellum. However, the mean absolute errors were not reduced in contrast to the global models, suggesting that general intelligence may be related more to global than region-specific differences in gray matter volume. More generally, our study highlights the importance of predictive statistical analysis approaches for clarifying the neurobiological bases of intelligence and provides important suggestions for future research using predictive modeling.",2020,Sep,Brain Struct Funct,225,7,2111-2129,32696074.0,10.1007/s00429-020-02113-7,,#16,Hilger 2020,,en,0.0,MNR,JD
Use of machine learning to classify adult ADHD and other conditions based on the Conners' Adult ADHD Rating Scales,"Christiansen, H.; Chavanon, M. L.; Hirsch, O.; Schmidt, M. H.; Meyer, C.; Muller, A.; Rumpf, H. J.; Grigorev, I.; Hoffmann, A.","A reliable diagnosis of adult Attention Deficit/Hyperactivity Disorder (ADHD) is challenging as many of the symptoms of ADHD resemble symptoms of other disorders. ADHD is associated with gambling disorder and obesity, showing overlaps of about 20% with each diagnosis. It is important for clinical practice to differentiate between conditions displaying similar symptoms via established diagnostic instruments. Applying the LightGBM algorithm in machine learning, we were able to differentiate subjects with ADHD, obesity, problematic gambling, and a control group using all 26 items of the Conners' Adult ADHD Rating Scales (CAARS-S: S) with a global accuracy of .80; precision (positive predictive value) ranged between .78 (gambling) and .92 (obesity), recall (sensitivity) between .58 for obesity and .87 for ADHD. Models with the best 5 and best 10 items resulted in less satisfactory fits. The CAARS-S seems to be a promising instrument to be applied in clinical practice also for multiclassifying disorders displaying symptoms resembling ADHD.",2020,Nov 2,Sci Rep,10,1,18871,33139794.0,10.1038/s41598-020-75868-y,,#17,Christiansen 2020,,en,1.0,PRO,LS
Expectation of exercise in trained athletes results in a reduction of central processing to nociceptive stimulation,"Geisler, M.; Eichelkraut, L.; Miltner, W. H. R.; Weiss, T.","A single endurance exercise session was shown to lead to a reduction of pain perception and an elevation of mood. We hypothesized that athletes, who regularly practice endurance, might also induce changes in mood and pain processing in expectation of an endurance session. We compared the expectation effects of a 2-h-run on mood and pain processing to a run-free control day (RFC). Fifteen trained runners were assessed with repeated painful and nonpainful pinprick stimulation in a functional magnetic resonance imaging (fMRI) scanner prior to a 2-h-run and at RFC. Pain ratings, pressure pain stimulus-response functions, and euphoria ratings were also assessed. There were no mean expectation effects on any of the behavioral measures. However, highly trained athletes needed more pressure to evoke a pain rating of 46 pre-run vs. RFC but were less euphoric pre-run vs. RFC. Furthermore, analysis of brain activities to painful stimuli applied immediately before the 2-h-run compared to RFC revealed increased activation in the medial prefrontal cortex (mPFC) and reduced activation in posterior insula. Additionally, less trained athletes had reduced activation in posterior insula to painful stimulation pre-run vs. RFC compared to highly trained athletes. The results suggest reduced central pain processing in expectation of an endurance run and an association between the amount of the expectation effect and training frequency which differs depending on the stimuli applied.",2019,Jan 1,Behav Brain Res,356,,314-321,30189288.0,10.1016/j.bbr.2018.08.036,,#18,Geisler 2019,,en,1.0,PRO,LS
Generalization of appetitive conditioned responses,"Andreatta, M.; Pauli, P.","A stimulus (conditioned stimulus, CS) associated with an appetitive unconditioned stimulus (US) acquires positive properties and elicits appetitive conditioned responses (CR). Such associative learning has been examined extensively in animals with food as the US, and results are used to explain psychopathologies (e.g., substance-related disorders or obesity). Human studies on appetitive conditioning exist, too, but we still know little about generalization processes. Understanding these processes may explain why stimuli not associated with a drug, for instance, can elicit craving. Forty-seven hungry participants underwent an appetitive conditioning protocol during which one of two circles with different diameters (CS+) became associated with an appetitive US (chocolate or salty pretzel, according to participants' preference) but never the other circle (CS-). During generalization, US were delivered twice and the two CS were presented again plus four circles (generalization stimuli, GS) with gradually increasing diameters from CS- to CS+. We found successful appetitive conditioning as reflected in appetitive subjective ratings (positive valence, higher contingency) and physiological responses (startle attenuation and larger skin conductance responses) to CS+ versus CS-, and, importantly, both measures confirmed generalization as indicated by generalization gradients. Small changes in CS-US contingency during generalization may have weakened generalization processes on the physiological level. Considering that appetitive conditioned responses can be generalized to non-US-associated stimuli, a next important step would be to investigate risk factors that mediate overgeneralization.",2019,Sep,Psychophysiology,56,9,e13397,31152454.0,10.1111/psyp.13397,,#19,Andreatta 2019,,en,1.0,PRO,LS
Hydrocortisone accelerates the decay of iconic memory traces: on the modulation of executive and stimulus-driven constituents of sensory information maintenance,"Miller, R.; Weckesser, L. J.; Smolka, M. N.; Kirschbaum, C.; Plessow, F.","A substantial amount of research documents the impact of glucocorticoids on higher-order cognitive functioning. By contrast, surprisingly little is known about the susceptibility of basic sensory processes to glucocorticoid exposure given that the glucocorticoid receptor density in the human visual cortex exceeds those observed in prefrontal and most hippocampal brain regions. As executive tasks also rely on these sensory processes, the present study investigates the impact of glucocorticoid exposure on different performance parameters characterizing the maintenance and transfer of sensory information from iconic memory (IM; the sensory buffer of the visual system) to working memory (WM). Using a crossover factorial design, we administered one out of three doses of hydrocortisone (0.06, 0.12, or 0.24mg/kg bodyweight) and a placebo to 18 healthy young men. Thereafter participants performed a partial report task, which was used to assess their individual ability to process sensory information. Blood samples were concurrently drawn to determine free and total cortisol concentrations. The compiled pharmacokinetic and psychophysical data demonstrates that free cortisol specifically accelerated the decay of sensory information (r=0.46) without significantly affecting the selective information transfer from IM to WM or the capacity limit of WM. Specifically, nonparametric regression revealed a sigmoid dose-response relationship between free cortisol levels during the testing period and the IM decay rates. Our findings highlight that glucocorticoid exposure may not only impact on the recruitment of top-down control for an active maintenance of sensory information, but alter their passive (stimulus-driven) maintenance thereby changing the availability of information prior to subsequent executive processing.",2015,Mar,Psychoneuroendocrinology,53,,148-58,25618593.0,10.1016/j.psyneuen.2014.12.016,,#20,Miller 2015,,en,0.0,MNR,JD
From decision to action: Suicidal history and time between decision to die and actual suicide attempt,"Paashaus, L.; Forkmann, T.; Glaesmer, H.; Juckel, G.; Rath, D.; Schonfelder, A.; Teismann, T.","A substantial proportion of suicide attempts seem to be realized in a sudden manner. However, it is unclear how suicide attempters showing a rapid transition from the decision to die to acting differ from suicide attempters showing a slower transition regarding their suicidal history. The main aim of this study was to determine the proportion of suicide attempters, who reported a rapid transition (</=5, </=10, </=180 min) between their decision to die and their actual attempt. Furthermore, attempter groups (</= vs. >5, </= vs. >10 and </= vs. >180 min) were compared regarding suicidal history (ideation, plans, and number of lifetime as well as 12 month suicide attempts) as well as depression, hopelessness and trait impulsivity. In total, 118 inpatients (62.7% female; age: M = 38.71, SD = 14.71) hospitalized due to a recent suicide attempt were assessed using structured clinical interview measures assessing suicidal history and self-report instruments. Thirty-six percent reported a time period of </=5 min, 44% a time period of </=10 min and 73% a time period of </=180 min between their decision to die and their attempt. Participants with a rapid transition (</=5, </=10, </=180 min) did not differ from participants with a slower transition (>5, >10, >180 min) regarding suicidal history, depression, hopelessness and trait impulsivity. Taken together, a rapid transition seems common, but nevertheless, rapidly realized suicide attempts cannot necessarily be characterized as impulsive.",2021,Nov,Clin Psychol Psychother,28,6,1427-1434,33687121.0,10.1002/cpp.2580,,#21,Paashaus 2021,,en,0.0,MNR,LS
Imminent danger? Probabilistic classification learning of threat-related information in obsessive-compulsive disorder,"Exner, C.; Zetsche, U.; Lincoln, T. M.; Rief, W.","A tendency to overestimate threat has been shown in individuals with OCD. We tested the hypothesis that this bias in judgment is related to difficulties in learning probabilistic associations between events. Thirty participants with OCD and 30 matched healthy controls completed a learning experiment involving 2 variants of a probabilistic classification learning task. In the neutral weather-prediction task, rainy and sunny weather had to be predicted. In the emotional task danger of an epidemic from virus infection had to be predicted (epidemic-prediction task). Participants with OCD were as able as controls to improve their prediction of neutral events across learning trials but scored significantly below healthy controls on the epidemic-prediction task. Lower performance on the emotional task variant was significantly related to a heightened tendency to overestimate threat. Biased information processing in OCD might thus hamper corrective experiences regarding the probability of threatening events.",2014,Mar,Behav Ther,45,2,157-67,24491191.0,10.1016/j.beth.2013.09.006,,#22,Exner 2014,,en,1.0,PRO,LS
Socioaffective versus sociocognitive mental trainings differentially affect emotion regulation strategies,"Hildebrandt, L. K.; McCall, C.; Singer, T.","A variety of contemplative practices putatively improves the ability to deal with difficult emotions. However, it is unclear how these different types of mental training differentially affect the use of different emotion regulation strategies. We addressed this question in a 9-month longitudinal study in which participants (N = 332) took part in three distinct 3-month mental training modules cultivating attentional (the Presence module), sociocognitive (the Perspective module), and socioaffective, compassion-based skills (the Affect module). In addition, the participants completed the Cognitive Emotion Regulation Questionnaire and the Brief COPE Inventory at baseline and after every module. The Presence module did not notably change the use of any emotion regulation strategies, whereas the Perspective and the Affect modules both increased the use of acceptance. Moreover, the Perspective module was especially effective in increasing the use of adaptive, cognitive transformations such as reappraisal, perspective taking, and planning, whereas the Affect module uniquely led to decreases in maladaptive avoidant strategies such as distraction and refocusing. These findings imply that (a) cultivating present-moment focused attention might not be sufficient to change emotion regulation strategies, (b) different types of mental practices focusing on either cognitive perspective taking or sociomotivational capacities lead to adaptive emotion regulation via different strategies, and (c) specifically cultivating positive affect and compassion can decrease avoidance of difficult emotions. This research suggests that different mental training exercises affect the use of specific emotion regulation strategies and that clinical interventions should be designed accordingly. (PsycINFO Database Record (c) 2019 APA, all rights reserved).",2019,Dec,Emotion,19,8,1329-1342,30589299.0,10.1037/emo0000518,,#23,Hildebrandt 2019,,en,0.0,MNR,JD
Nucleus accumbens activation is linked to salience in social decision making,"Schmidt, S. N. L.; Fenske, S. C.; Kirsch, P.; Mier, D.","Aberrant salience may explain hasty decision making and psychotic symptoms in schizophrenia. In healthy individuals, final decisions in probabilistic reasoning tasks are related to Nucleus accumbens (Nacc) activation. However, research investigating the Nacc in social decision making is missing. Our study aimed at investigating the role of the Nacc for social decision making and its link to (aberrant) salience attribution. 47 healthy individuals completed a novel social jumping-to-conclusion (JTC) fMRI-paradigm, showing morphed faces simultaneously expressing fear and happiness. Participants decided on the 'current' emotion after each picture, and on the 'general' emotion of series of faces. Nacc activation was stronger during final decisions than in previous trials without a decision, particularly in fear rather than happiness series. A JTC-bias was associated with higher Nacc activation for last fearful, but not last happy faces. Apparently, mechanisms underlying probabilistic reasoning are also relevant for social decision making. The pattern of Nacc activation suggests salience, not reward, drives the final decision. Based on these findings, we hypothesize that aberrant salience might also explain social-cognitive deficits in schizophrenia.",2019,Sep,Eur Arch Psychiatry Clin Neurosci,269,6,701-712,30361926.0,10.1007/s00406-018-0947-6,,#24,Schmidt 2019,,en,0.0,MNR,LS
Hippocampal CA1 deformity is related to symptom severity and antipsychotic dosage in schizophrenia,"Zierhut, K. C.; Grassmann, R.; Kaufmann, J.; Steiner, J.; Bogerts, B.; Schiltz, K.","Abnormalities of the hippocampus are intricately involved in the pathophysiology of schizophrenia. Hippocampal volume decrease is present at disease onset and has mainly been observed in the anterior and posterior part of the hippocampus. Nevertheless, an association between regionally specific hippocampal shape deformities putatively affecting a pathophysiologically crucial region, i.e. cornu ammonis field 1 (CA1), and symptomatology as well as required maintenance medication has not been observed. The aim of this study was to characterize the relationship between CA1-specific hippocampal surface deformations and symptom severity. Furthermore, we aimed to explore whether such specific morphological hippocampus abnormalities statistically predict the maintenance dosage of antipsychotic medication. Hippocampal shape and volume were determined by manual segmentation of high resolution, whole brain, three-dimensional structural magnetic resonance imaging scans. Associations between hippocampal volume, specific shape deformities in CA1, and positive and negative symptoms were assessed in 32 patients with schizophrenia and compared with 34 healthy control subjects. In addition to volume reductions of the left hippocampus, patients with schizophrenia displayed specific shape deformities in the left anterior and posterior CA1 subfield. Overall, the severity of positive symptoms was closely associated to these morphological deformities, specifically delusions and hallucinations. In addition, CA1 deformity was linked to the required antipsychotic dosage. Findings were replicated in a second, independent sample. Hippocampal CA1 deformity, possibly reflecting shrinkage, might result from a specific hyperactivity, leading to a circumscribed volume loss. Owing to its physiological function, deficits in CA1 may be directly involved in the pathogenesis of hallucinations and delusions, core symptoms in schizophrenia.",2013,Mar,Brain,136,Pt 3,804-14,23388407.0,10.1093/brain/aws335,,#25,Zierhut 2013,,en,1.0,PRO,JD
