Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,lang,target,results,is_result
Expectation of exercise in trained athletes results in a reduction of central processing to nociceptive stimulation,"Geisler, M.; Eichelkraut, L.; Miltner, W. H. R.; Weiss, T.",a single endurance exercise session wa shown to lead to a reduction of pain perception and an elevation of mood we hypothesized that athlete who regularly practice endurance might also induce change in mood and pain processing in expectation of an endurance session we compared the expectation effect of a 2 h run on mood and pain processing to a run free control day rfc fifteen trained runner were assessed with repeated painful and nonpainful pinprick stimulation in a functional magnetic resonance imaging fmri scanner prior to a 2 h run and at rfc pain rating pressure pain stimulus response function and euphoria rating were also assessed there were no mean expectation effect on any of the behavioral measure however highly trained athlete needed more pressure to evoke a pain rating of 46 pre run v rfc but were le euphoric pre run v rfc furthermore analysis of brain activity to painful stimulus applied immediately before the 2 h run compared to rfc revealed increased activation in the medial prefrontal cortex mpfc and reduced activation in posterior insula additionally le trained athlete had reduced activation in posterior insula to painful stimulation pre run v rfc compared to highly trained athlete the result suggest reduced central pain processing in expectation of an endurance run and an association between the amount of the expectation effect and training frequency which differs depending on the stimulus applied,2019,Jan 1,Behav Brain Res,356,,314-321,30189288.0,10.1016/j.bbr.2018.08.036,,#18,Geisler 2019,Louis Schiekiera (2023-06-16 07:20:37)(Screen): pos; ,,en,1.0,,0
Generalization of appetitive conditioned responses,"Andreatta, M.; Pauli, P.",a stimulus conditioned stimulus c associated with an appetitive unconditioned stimulus u acquires positive property and elicits appetitive conditioned response cr such associative learning ha been examined extensively in animal with food a the u and result are used to explain psychopathology e g substance related disorder or obesity human study on appetitive conditioning exist too but we still know little about generalization process understanding these process may explain why stimulus not associated with a drug for instance can elicit craving forty seven hungry participant underwent an appetitive conditioning protocol during which one of two circle with different diameter c became associated with an appetitive u chocolate or salty pretzel according to participant preference but never the other circle c during generalization u were delivered twice and the two c were presented again plus four circle generalization stimulus g with gradually increasing diameter from c to c we found successful appetitive conditioning a reflected in appetitive subjective rating positive valence higher contingency and physiological response startle attenuation and larger skin conductance response to c versus c and importantly both measure confirmed generalization a indicated by generalization gradient small change in c u contingency during generalization may have weakened generalization process on the physiological level considering that appetitive conditioned response can be generalized to non u associated stimulus a next important step would be to investigate risk factor that mediate overgeneralization,2019,Sep,Psychophysiology,56,9,e13397,31152454.0,10.1111/psyp.13397,,#19,Andreatta 2019,Louis Schiekiera (2023-06-08 08:16:04)(Screen): pos; ,,en,1.0,,0
From decision to action: Suicidal history and time between decision to die and actual suicide attempt,"Paashaus, L.; Forkmann, T.; Glaesmer, H.; Juckel, G.; Rath, D.; Schonfelder, A.; Teismann, T.",a substantial proportion of suicide attempt seem to be realized in a sudden manner however it is unclear how suicide attempter showing a rapid transition from the decision to die to acting differ from suicide attempter showing a slower transition regarding their suicidal history the main aim of this study wa to determine the proportion of suicide attempter who reported a rapid transition 5 10 180 min between their decision to die and their actual attempt furthermore attempter group v 5 v 10 and v 180 min were compared regarding suicidal history ideation plan and number of lifetime a well a 12 month suicide attempt a well a depression hopelessness and trait impulsivity in total 118 inpatient 62 7 female age m 38 71 sd 14 71 hospitalized due to a recent suicide attempt were assessed using structured clinical interview measure assessing suicidal history and self report instrument thirty six percent reported a time period of 5 min 44 a time period of 10 min and 73 a time period of 180 min between their decision to die and their attempt participant with a rapid transition 5 10 180 min did not differ from participant with a slower transition 5 10 180 min regarding suicidal history depression hopelessness and trait impulsivity taken together a rapid transition seems common but nevertheless rapidly realized suicide attempt cannot necessarily be characterized a impulsive,2021,Nov,Clin Psychol Psychother,28,6,1427-1434,33687121.0,10.1002/cpp.2580,,#21,Paashaus 2021,Louis Schiekiera (2023-06-16 07:34:18)(Screen): neg; ,,en,-1.0,,0
Imminent danger? Probabilistic classification learning of threat-related information in obsessive-compulsive disorder,"Exner, C.; Zetsche, U.; Lincoln, T. M.; Rief, W.",a tendency to overestimate threat ha been shown in individual with ocd we tested the hypothesis that this bias in judgment is related to difficulty in learning probabilistic association between event thirty participant with ocd and 30 matched healthy control completed a learning experiment involving 2 variant of a probabilistic classification learning task in the neutral weather prediction task rainy and sunny weather had to be predicted in the emotional task danger of an epidemic from virus infection had to be predicted epidemic prediction task participant with ocd were a able a control to improve their prediction of neutral event across learning trial but scored significantly below healthy control on the epidemic prediction task lower performance on the emotional task variant wa significantly related to a heightened tendency to overestimate threat biased information processing in ocd might thus hamper corrective experience regarding the probability of threatening event,2014,Mar,Behav Ther,45,2,157-67,24491191.0,10.1016/j.beth.2013.09.006,,#22,Exner 2014,Louis Schiekiera (2023-06-12 21:46:17)(Screen): pos; ,,en,1.0,,0
Nucleus accumbens activation is linked to salience in social decision making,"Schmidt, S. N. L.; Fenske, S. C.; Kirsch, P.; Mier, D.",aberrant salience may explain hasty decision making and psychotic symptom in schizophrenia in healthy individual final decision in probabilistic reasoning task are related to nucleus accumbens nacc activation however research investigating the nacc in social decision making is missing our study aimed at investigating the role of the nacc for social decision making and it link to aberrant salience attribution 47 healthy individual completed a novel social jumping to conclusion jtc fmri paradigm showing morphed face simultaneously expressing fear and happiness participant decided on the current emotion after each picture and on the general emotion of series of face nacc activation wa stronger during final decision than in previous trial without a decision particularly in fear rather than happiness series a jtc bias wa associated with higher nacc activation for last fearful but not last happy face apparently mechanism underlying probabilistic reasoning are also relevant for social decision making the pattern of nacc activation suggests salience not reward drive the final decision based on these finding we hypothesize that aberrant salience might also explain social cognitive deficit in schizophrenia,2019,Sep,Eur Arch Psychiatry Clin Neurosci,269,6,701-712,30361926.0,10.1007/s00406-018-0947-6,,#24,Schmidt 2019,Louis Schiekiera (2023-06-16 18:21:00)(Screen): mix; ,,en,0.0,,0
Heart-related anxieties in relation to general anxiety and severity of illness in cardiology patients,"Muschalla, B.; Glatz, J.; Linden, M.",absence of an adequate reason for anxiety is a criterion for pathological anxiety however the presence of danger or fear provoking stimulus may even be a risk factor for anxiety and doe not exclude that there is additionally pathological anxiety too the question is to what degree can heart related anxiety be explained by the severity of illness or trait anxiety two hundred and nine patient 37 8 woman from a cardiology inpatient unit completed the heart anxiety questionnaire progression anxiety questionnaire job anxiety scale and the state trait anxiety inventory the severity of cardiac illness wa rated by the treating cardiologist using the multidimensional severity of morbidity rating time absent from work due to sickness wa assessed a an indicator for illness related impairment heart anxiety wa significantly related to progression anxiety and to a lesser extent trait anxiety and indicator of subjective symptom of somatic illness no association wa found with medical rating for prognosis multimorbidity or reduction in life expectancy heart related anxiety is a symptom of an anxiety disorder although partially dependent on subjective suffering it cannot be explained by the severity of medical illness treatment of health related anxiety should focus on how to cope with subjective symptom of illness,2014,2013/03/11,Psychol Health Med,19,1,83-92,23473360.0,10.1080/13548506.2013.774428,,#26,Muschalla 2014,Jonathan Diederichs (2023-06-07 23:38:07)(Screen): mix; ,,en,0.0,,0
Doctoral researchers' mental health and PhD training satisfaction during the German COVID-19 lockdown: results from an international research sample,"Naumann, S.; Matyjek, M.; Bogl, K.; Dziobek, I.",academia ha been facing a mental health crisis particularly affecting early career researcher ecrs moreover the covid 19 pandemic posed an unprecedented burden on the mental health of many individual therefore we cross sectionally investigated how doctoral researcher n 222 evaluate their mental health status and satisfaction with their phd training before and during the pandemic a compared to self reported retrospective evaluation about the pre pandemic state we found decreased satisfaction with phd training and overall well being the whole sample exhibited high level of personal and work related burnout a fifth indicated clinically meaningful level of depressive symptom and almost 25 experienced severe loneliness when exploring predictor of depression anxiety and burnout we identified low satisfaction with phd training a the most prominent predictor for poor mental health suggesting a link between the doctoral work and their mental health status female v male and doctoral researcher in individual doctorate v structured phd program reported higher symptom of burnout our study replicates previous finding of poor mental health in doctoral researcher and indicates further decrease of mental wellbeing under the influence of the pandemic systematic adjustment in academia are required to improve the mental health of ecrs,2022,Dec 22,Sci Rep,12,1,22176,36550297.0,10.1038/s41598-022-26601-4,,#27,Naumann 2022,Louis Schiekiera (2023-06-06 23:16:57)(Screen): pos; ,,en,1.0,,0
Acceptance-Based Emotion Regulation Reduces Subjective and Physiological Pain Responses,"Haspert, V.; Wieser, M. J.; Pauli, P.; Reicherts, P.",acceptance based regulation of pain which focus on the allowing of pain and pain related thought and emotion wa found to modulate pain however result so far are inconsistent regarding different pain modality and index moreover study so far often lack a suitable control condition focus on behavioral pain measure rather than physiological correlate and often use between subject design which potentially impede the evaluation of the effectiveness of the strategy therefore we investigated whether acceptance based strategy can reduce subjective and physiological marker of acute pain in comparison to a control condition in a within subject design to this end participant n 30 completed 24 trial comprising 10 s of heat pain stimulation each trial started with a cue instructing participant to welcome and experience pain acceptance trial or to react to the pain a it is without employing any regulation strategy control trial in addition to pain intensity and unpleasantness rating heart rate hr and skin conductance sc were recorded result showed significantly decreased pain intensity and unpleasantness rating for acceptance compared to control trial additionally hr wa significantly lower during acceptance compared to control trial whereas sc revealed no significant difference these result demonstrate the effectiveness of acceptance based strategy in reducing subjective and physiological pain response relative to a control condition even after short training therefore the systematic investigation of acceptance in different pain modality in healthy and chronic pain patient is warranted,2020,2020/06/30,Front Psychol,11,,1514,32695054.0,10.3389/fpsyg.2020.01514,,#28,Haspert 2020,Louis Schiekiera (2023-06-07 20:32:57)(Screen): mix; ,,en,0.0,,0
"Temporal stability and effect dynamics between executive functions, perceived chronic stress, and hair cortisol concentrations","Weckesser, L. J.; Schmidt, K.; Moschl, M.; Kirschbaum, C.; Enge, S.; Miller, R.",accident caused by human error illustrate the fragility of cognitive processing and it coordination by executive function against stress to better understand how core executive function change over time influence each other and are affected by chronic stress exposure a prospective cohort study wa conducted from 2016 to 2019 five hundred sixteen german adult aged 25 55 year mean age education age 38 0 11 3 year 67 female 94 occupied 20 smoker completed at least one internet based biannual assessment of response inhibition updating and set shifting using a go nogo spatial 2 back and number letter task respectively chronic stress exposure wa indicated by self report on the perceived stress scale p and hair cortisol concentration hcc statistical analysis were performed by multivariate stochastic differential equation modeling all indicator of executive function task specific rts in target trial or their contrast to nontarget trial and chronic stress showed intraindividual stability over time 12 to 63 of their variance wa attributable to trait influence with respect to lagged mutual association faster go nogo target rts predicted faster number letter target rts later in time while faster number letter target rts predicted higher hcc later in time both with maximum effect size of d approximately 0 1 standard deviation however p wa not predictive of later hcc and vice versa none of the chronic stress indicator significantly predicted indicator of executive function at subsequent time point these finding suggest that set shifting is capable of modulating the body s physiological response to chronic stress exposure whereas executive function appear comparably robust against chronic stress exposure psycinfo database record c 2021 apa all right reserved,2021,Jul,Dev Psychol,57,7,1149-1162,34435829.0,10.1037/dev0001193,,#29,Weckesser 2021,Jonathan Diederichs (2023-06-25 04:20:02)(Screen): mix; ,,en,0.0,,0
"Anger and aggressiveness in obsessive-compulsive disorder (OCD) and the mediating role of responsibility, non-acceptance of emotions, and social desirability","Cludius, B.; Mannsfeld, A. K.; Schmidt, A. F.; Jelinek, L.",according to psychodynamic and cognitive model of obsessive compulsive disorder ocd anger and aggression play an important role in the development and maintenance of the disorder sub clinical sample with ocd have reported higher anger and anger suppression patient with checking related symptom of ocd showed a le aggressive self concept a assessed by an implicit association test iat this study assessed anger and aggressiveness self concept in ocd a well a possible mediator of the link between ocd and aggressiveness a total of 48 patient with ocd and 45 healthy control were included measure included the state trait anger expression inventory ii and an aggressiveness self concept iat agg iat an inflated sense of responsibility non acceptance of emotion and social desirability were tested a mediator a expected patient with ocd reported higher trait anger and anger suppression compared to healthy control contrary to hypothesis the aggressiveness self concept agg iat did not differ between group the inflated sense of responsibility mediated the relationship between group and anger suppression non acceptance of negative emotion mediated the relationship between group and trait anger a well a anger suppression however comorbidities and medication may account for some effect in anger suppression elevated trait anger and anger suppression in ocd patient could be explained by dysfunctional belief or maladaptive emotion regulation strategy emotion regulation therapy might help to enhance awareness and acceptance of emotion and possibly improve treatment outcome,2021,Sep,Eur Arch Psychiatry Clin Neurosci,271,6,1179-1191,33155153.0,10.1007/s00406-020-01199-8,,#30,Cludius 2021,Louis Schiekiera (2023-06-05 20:00:57)(Screen): mix; ,,en,0.0,,0
Direct and indirect assessment of perfectionism in patients with depression and obsessive-compulsive disorder,"Cludius, B.; Landmann, S.; Kulz, A. K.; Takano, K.; Moritz, S.; Jelinek, L.",according to the transdiagnostic perspective psychological disorder share common cognitive process involved in their pathogenesis one dysfunctional belief that ha been found to be associated with several psychological disorder including major depressive disorder mdd and obsessive compulsive disorder ocd is perfectionism perfectionism comprises two factor namely perfectionistic striving and perfectionistic concern this study aim to replicate and extend previous research in several way we aimed to a similarity between the two disorder using bayesian statistic furthermore a dysfunctional belief are assumed to not be fully accessible by introspection we included an indirect measure perfectionism single category implicit association task sc iat the sc iat and a self report measure of perfectionism fmps wa used in patient with mdd n 55 ocd n 55 and in healthy control n 64 in replication of previous finding patient with mdd and ocd differed from healthy control regarding self reported perfectionism score furthermore bayesian statistic showed that the two patient group did not differ regarding perfectionistic striving and only showed difference on perfectionistic concern when the doubt about action subscale which is also closely related to symptom of ocd wa included contrary to our expectation the sc iat did not discriminate group in conclusion these result give further evidence that self reported perfectionism may serve a a relevant transdiagnostic process more study are needed to a implicit facet of perfectionism,2022,2022/10/13,PLOS ONE,17,10,e0270184,36227960.0,10.1371/journal.pone.0270184,,#34,Cludius 2022,Louis Schiekiera (2023-06-16 07:28:01)(Screen): mix; ,,en,0.0,,0
"Assessment of Tobacco-Related Approach and Attentional Biases in Smokers, Cravers, Ex-Smokers, and Non-Smokers","Woud, M. L.; Maas, J.; Wiers, R. W.; Becker, E. S.; Rinck, M.",according to theory of addictive behavior approach and attentional bias toward smoking related cue play a crucial role in tobacco dependence several study have investigated these bias by using various paradigm in different sample type however this heterogeneity make it difficult to compare and evaluate the result the present study aimed to address this problem via i a structural comparison of different measure of approach avoidance and a measure of smoking related attentional bias and ii using within one study different representative sample in the context of tobacco dependence three measure of approach avoidance were employed an approach avoidance task aat a stimulus response compatibility task src and a single target implicit association test st iat to a attentional bias a modified stroop task including smoking related word wa administered the study included four group n 58 smoker n 57 non smoker n 52 cravers and n 54 ex smoker we expected to find strong tobacco related approach bias and attentional bias in smoker and cravers however the general pattern of result did not confirm these expectation approach response assessed during the aat and src did not differ between group moreover the stroop did not show the expected interference effect for the st iat cravers had stronger approach association toward smoking related cue whereas non smoker showed stronger avoidance association however no such difference in approach avoidance association were found in smoker and ex smoker to conclude these data do not provide evidence for a strong role of implicit approach and attentional bias toward smoking related cue in tobacco dependency,2016,2016/02/26,Front Psychol,7,,172,26955359.0,10.3389/fpsyg.2016.00172,,#35,Woud 2016,Jonathan Diederichs (2023-06-15 04:10:31)(Screen): mix; ,,en,0.0,,0
A brief cognitive-behavioural social skills training for stabilised outpatients with schizophrenia: a preliminary study,"Rus-Calafell, M.; Gutierrez-Maldonado, J.; Ortega-Bravo, M.; Ribas-Sabate, J.; Caqueo-Urizar, A.",achieving social functioning and achieving social competence are two main objective of psychosocial intervention for people suffering from schizophrenia the present preliminary study present a novel approach of social skill training sst based on the proposal of kopelowicz et al kopelowicz a liberman r p and zarate r 2006 schizophr bull 32 1 s12 23 that link the treatment to seven specific target behaviour social perception social information processing responding and sending skill affiliative skill interactional skill and behaviour governed by social norm thirty one stabilised outpatient were randomly assigned to one of two group sst n 13 or treatment a usual n 18 tau case management medication adherence psychotherapy leisure engagement and family support and were assessed at baseline in cognitive performance clinical symptomatology social cognition and psychosocial functioning these outcome were evaluated across post treatment and at the 6 month follow up appointment sst subject showed improvement in psychopathology social discomfort social cognition self regulation statement during interaction social withdrawal interpersonal communication and quality of life compared with the tau group at the 6 month follow up result were maintained for negative symptom social discomfort and some functioning outcome neuropsychological variable were also examined a mediator of benefit from skill training result support the efficacy of the brief sst for outpatient with schizophrenia and show the need to implement empirically supported intervention in mental health service to enhance patient social functioning and quality of life,2013,Feb,Schizophr Res,143,2-3,327-36,23235141.0,10.1016/j.schres.2012.11.014,,#37,Rus-Calafell 2013,Louis Schiekiera (2023-06-08 20:03:15)(Screen): pos; ,,en,1.0,,0
